"";"ships_from";"ships_to";"successful_transactions"
"910";"DE";"DE, WW";60
"911";"NL";"WW";40
"912";"BE";"WW";1
"913";"DE";"WW";520
"914";"NL";"WW";40
"915";"DE";"WW";100
"916";"EU";"WW";150
"917";"IT";"WW";220
"918";"NL";"WW";100
"919";"ES";"WW";100
"920";"FR";"WW";17
"921";"FR";"WW";17
"922";"US";"US";190
"923";"NL";"WW, NL";130
"924";"NL";"EU";350
"925";"DE";"DE, WW";600
"926";"DE";"DE, WW";3250
"927";"DE";"DE, WW";28
"928";"NL";"EU";180
"929";"DE";"EU, WW";100
"930";"DE";"DE";1700
"931";"NL";"WW";40
"932";"DE";"DE, WW";60
"933";"DE";"DE, WW";60
"934";"NL";"WW";40
"935";"BE";"WW";1
"936";"NL";"WW";40
"937";"DE";"WW";100
"938";"EU";"WW";150
"939";"IT";"WW";220
"940";"NL";"EU";350
"941";"NL";"WW";110
"942";"NL";"EU";180
"943";"DE";"EU, WW";100
"944";"DE";"DE";1700
"945";"US";"N. America, WW";70
"946";"EU";"WW";150
"947";"DE";"WW";20
"948";"DE";"WW, DE";490
"949";"NL";"EU";620
"950";"NL";"EU";70
"951";"NL";"EU";230
"952";"DE";"DE, NL";150
"953";"NL";"EU";460
"954";"NL";"EU";90
"955";"DE";"WW";130
"956";"DE";"WW";130
"957";"EU";"WW";60
"958";"FR";"FR, EU";540
"959";"NL";"WW";300
"960";"NL";"WW, EU";620
"961";"NL";"WW, EU";620
"962";"DE";"WW";24
"963";"NL";"WW";310
"964";"DE";"WW";20
"965";"DE";"WW, DE";490
"966";"NL";"EU";620
"967";"NL";"EU";70
"968";"NL";"EU";230
"969";"NL";"WW";17
"970";"NL";"EU";720
"971";"DE";"WW, US";230
"972";"DE";"DE, NL";150
"973";"DE";"WW";660
"974";"WW";"WW";80
"975";"NL";"EU";460
"976";"GB";"GB";300
"977";"NL";"EU";90
"978";"NL";"WW";110
"979";"DE";"WW";130
"980";"DE";"WW";130
"981";"NL";"EU, ASIA";60
"982";"EU";"WW";60
"983";"NL";"WW";200
"984";"DE";"WW";250
"985";"FR";"FR, EU";540
"986";"NL";"WW";4
"987";"NL";"EU, WW";130
"988";"NL";"EU";230
"989";"NL";"WW";300
"990";"DE";"EU, DE";13
"991";"NL";"WW, EU";620
"992";"NL";"WW, EU";620
"993";"NL";"WW";140
"994";"DE";"WW";24
"995";"NL";"WW";310
